x,y,z,value,lat,long
0,0,0,6.075392198900335,40.81048,-112.001349
0,0,1,6.068856398140876,40.78696,-112.001349
0,0,2,6.11696472396396,40.76345,-112.001349
0,0,3,6.258395803205017,40.73993,-112.001349
0,0,4,6.503417029040482,40.71642,-112.001349
0,0,5,6.319019561974585,40.69291,-112.001349
0,0,6,6.4470873196486025,40.66939,-112.001349
0,0,7,6.71343135328663,40.64588,-112.001349
0,0,8,6.539392140502118,40.62236,-112.001349
0,0,9,6.388788378889632,40.59885,-112.001349
0,1,0,5.934862808554074,40.81048,-111.9821526
0,1,1,6.006187626185657,40.78696,-111.9821526
0,1,2,5.9762155759496105,40.76345,-111.9821526
0,1,3,6.267635204885146,40.73993,-111.9821526
0,1,4,6.426968083201353,40.71642,-111.9821526
0,1,5,6.060663320589146,40.69291,-111.9821526
0,1,6,6.212943152788634,40.66939,-111.9821526
0,1,7,6.806988028065682,40.64588,-111.9821526
0,1,8,6.472538648808273,40.62236,-111.9821526
0,1,9,6.134600762711347,40.59885,-111.9821526
0,2,0,5.861576351304034,40.81048,-111.9629562
0,2,1,5.935008292651712,40.78696,-111.9629562
0,2,2,5.9046638844461485,40.76345,-111.9629562
0,2,3,6.4778714144476375,40.73993,-111.9629562
0,2,4,6.259553435928623,40.71642,-111.9629562
0,2,5,5.577003119970046,40.69291,-111.9629562
0,2,6,5.7729912779729,40.66939,-111.9629562
0,2,7,6.7797771955794515,40.64588,-111.9629562
0,2,8,6.254604840999736,40.62236,-111.9629562
0,2,9,5.762000090553196,40.59885,-111.9629562
0,3,0,5.933355389743568,40.81048,-111.9437598
0,3,1,6.188073481913127,40.78696,-111.9437598
0,3,2,6.523519899017766,40.76345,-111.9437598
0,3,3,6.433400003867364,40.73993,-111.9437598
0,3,4,5.5559331587596,40.71642,-111.9437598
0,3,5,4.862184235509934,40.69291,-111.9437598
0,3,6,4.940898141158733,40.66939,-111.9437598
0,3,7,6.936870380970448,40.64588,-111.9437598
0,3,8,5.9009540564104075,40.62236,-111.9437598
0,3,9,5.2780754451107725,40.59885,-111.9437598
0,4,0,6.094752966023325,40.81048,-111.9245634
0,4,1,6.5969059354968245,40.78696,-111.9245634
0,4,2,6.478666079738107,40.76345,-111.9245634
0,4,3,6.367831789883052,40.73993,-111.9245634
0,4,4,5.1451620963131806,40.71642,-111.9245634
0,4,5,4.442783430416658,40.69291,-111.9245634
0,4,6,4.462880927478576,40.66939,-111.9245634
0,4,7,5.484916869342665,40.64588,-111.9245634
0,4,8,8.324709366022168,40.62236,-111.9245634
0,4,9,4.901273646449281,40.59885,-111.9245634
0,5,0,6.009403395132919,40.81048,-111.905367
